Курс;Категория;Всего;Размер резервной копии
МДК 01.01 2021;Профессиональный цикл;7MB;0MB
электрические машины и аппараты;Базовые дисциплины;7MB;0MB
МДК 01.02 2021;Профессиональный цикл;7MB;0MB
Основы предпринимательства;Базовые дисциплины;7MB;0MB
МДК 01.01 Техническое обслуживание и ремонт автомобильного транспорта;Базовые дисциплины;7MB;0MB
УП 02 Группа С-27;Базовые дисциплины;7MB;0MB
ОП. 02 Слесарное дело.18 гр (Филиал);Базовые дисциплины;7MB;0MB
ПП 02 ;Базовые дисциплины;7MB;0MB
Задание НА ПП 01 продавцы;Базовые дисциплины;7MB;0MB
Техническое обслуживание и ремонт автомобильного транспорта»;Базовые дисциплины;7MB;0MB
Англ. яз НП-21 НП-23  НП-24;Базовые дисциплины;6MB;0MB
МДК.02.01 Ю-30 Пушкина.В.А;Профессиональный Модуль;6MB;0MB
Т. О.;Базовые дисциплины;6MB;0MB
УП02 П-36;Профильные дисциплины;6MB;0MB
Материаловедение;Базовые дисциплины;6MB;0MB
МДК 02.02 27;Базовые дисциплины;6MB;0MB
Электротехника(У-29);Базовые дисциплины;6MB;0MB
МДК 0101 НП11;Базовые дисциплины;6MB;0MB
ОТ У-29 Лежнев.Ю.И;Профильные дисциплины;6MB;0MB
Лекции по экологическому праву;Базовые дисциплины;5MB;0MB
Информатика Ю25;Базовые дисциплины;5MB;0MB
УП Ю-20;Базовые дисциплины;5MB;0MB
УП.04.01 У-29 Рахимова.Р.В;Профессиональный Модуль;4MB;0MB
МДК 04;Базовые дисциплины;4MB;0MB
1С:Программирование для начинающих МДК 02.02;Базовые дисциплины;4MB;0MB
Электротехника 20 группа (Филиал);Базовые дисциплины;4MB;0MB
ПОПД А-43 2021;Базовые дисциплины;4MB;0MB
МДК. 04.01. Организация процессов приготовления, подготовки к реализации и хранению холодных и горяч;Базовые дисциплины;4MB;0MB
МДК 04.01.2021;Профильные дисциплины;4MB;0MB
РЛ НП-15 Яковлева М.Н.;Общеобразовательные дисциплины ;4MB;0MB
Организация социальной работы в РФ;Базовые дисциплины;3MB;0MB
НП 21 МДК 02.01 ;Базовые дисциплины;3MB;0MB
Метрология Э-32;Базовые дисциплины;3MB;0MB
ПОПД У-49 Пушкина.А.М;Общепрофессиональный цикл;3MB;0MB
Английский;Базовые дисциплины;3MB;0MB
ОАИП П26;Базовые дисциплины;3MB;0MB
Стандартизация ;Базовые дисциплины;3MB;0MB
Информатика;Базовые дисциплины;3MB;0MB
Технологическое оборудование ЗОБ;Базовые дисциплины;3MB;0MB
ДЭ 09.02.07 23;Профессиональный цикл;3MB;0MB
ТП;Базовые дисциплины;3MB;0MB
Психология общения;Базовые дисциплины;3MB;0MB
Английский П-36;Базовые дисциплины;2MB;0MB
МДК.02.02 С-27 Румянцева.О.В;Профессиональный Модуль;2MB;0MB
ПО П-26 Румянцева.О.В;Общепрофессиональный цикл;2MB;0MB
для профессии НПО 43.01.09 Повар, кондитер;Базовые дисциплины;2MB;0MB
УП Итоговое;Базовые дисциплины;2MB;0MB
МДК 04.01 36 группа (Филиал);Базовые дисциплины;2MB;0MB
Английский язык Э-22;Базовые дисциплины;2MB;0MB
Основы схемотехники;Базовые дисциплины;2MB;0MB
Метрология М-24;Базовые дисциплины;2MB;0MB
МДК 01.04 эл ЗО ;Базовые дисциплины;2MB;1MB
МДК.02.01 НП21 Лебедева.И.Д;Профессиональный Модуль;2MB;0MB
Технология отрасли;Базовые дисциплины;2MB;0MB
МДК 04.01.2022;Профильные дисциплины;2MB;0MB
ПОПД;Базовые дисциплины;2MB;0MB
 Web приложения;Профильные дисциплины;2MB;0MB
МДК 03.01. Организация деятельности производственного подразделения;Базовые дисциплины;2MB;0MB
Электронная библиотека;Базовые дисциплины;2MB;0MB
Ин.язык. Эдиберидзе Л.Г.;Профессиональный Модуль;2MB;0MB
АП У-49 Пушкина.А.М;Профильные дисциплины;2MB;0MB
Правила дорожного движения (Филиал);Базовые дисциплины;2MB;0MB
КГ У-29 Горохова.С.В;Профильные дисциплины;2MB;0MB
МДК.02.03 С-27 Николаева.С.В;Профессиональный Модуль;2MB;0MB
Эффективное поведение Андреева;Базовые дисциплины;2MB;0MB
МДК 01.01 2022;Профессиональный цикл;1MB;0MB
СП;Базовые дисциплины;1MB;0MB
ПМ 09.02.03;Базовые дисциплины;1MB;0MB
Английский язык У-29;Базовые дисциплины;1MB;0MB
Операционные системы;Базовые дисциплины;1MB;0MB
МРОД;Профессиональный цикл;1MB;0MB
ГП;Базовые дисциплины;1MB;0MB
Английский язык М-34;Базовые дисциплины;1MB;0MB
МДК 01.02 2022;Профессиональный цикл;1MB;0MB
Приготовление;Базовые дисциплины;1MB;0MB
Трудовое право ЗО;Базовые дисциплины;1MB;0MB
Химия 16 2021;Базовые дисциплины;1MB;0MB
МДК.03.02 У-49 Рахимова.Р.В;Профессиональный Модуль;1MB;0MB
УП 03 08.01.14;Базовые дисциплины;1MB;0MB
МДК 02.01. 38 группа (Филиал);Базовые дисциплины;1MB;0MB
 МДК 02.01. 37 группа (Филиал);Базовые дисциплины;1MB;0MB
"МДК 02.02 ""Процессы приготовления, подготовки к реализации и презентации горячих блюд""";Базовые дисциплины;1MB;0MB
Основы Профессионального творчества НП-23;Базовые дисциплины;1MB;0MB
ПО Румянцева.О.В 4эл;Общепрофессиональный цикл;1MB;0MB
МДК 03.01 (заочное отделение) специальность 13.02.11;Профессиональный цикл;1MB;0MB
Немецкий язык;Базовые дисциплины;1MB;0MB
МДК 01 продавцы;Базовые дисциплины;1MB;0MB
МДК 02.01 продавцы;Базовые дисциплины;1MB;0MB
УП 22;Базовые дисциплины;1MB;0MB
МДК 03.01 НП-35;Базовые дисциплины;1MB;0MB
УК;Базовые дисциплины;1MB;0MB
Английский язык М-24;Базовые дисциплины;1MB;0MB
МДК 01.01 «Технология перевозочного процесса»;Базовые дисциплины;1MB;0MB
Мате-ка Ю-20 Токар М.Й;Общеобразовательные дисциплины ;1MB;0MB
ПМ 02. Организация деятельности коллектива исполнителей ;Профессиональный Модуль;1MB;0MB
Английский язык  3;Базовые дисциплины;1MB;0MB
Английский язык Э-32;Базовые дисциплины;1MB;0MB
ПП.03 2021;Профессиональный цикл;1MB;0MB
Диплом Я.Ж.С.2021;Профессиональный цикл;1MB;0MB
Деловое общение и этика;Базовые дисциплины;1MB;0MB
М НП-15 Ткачева.Ю.С;Общеобразовательные дисциплины ;1MB;0MB
УП М-34;Базовые дисциплины;1MB;0MB
МДК 04.01 «Выполнение работ по профессии диспетчер автомобильного транспорта»;Базовые дисциплины;1MB;0MB
Диплом М.А.А.2021;Профессиональный цикл;1MB;0MB
ИнЯзык Эдиберидзе Л.Г;Общеобразовательные дисциплины ;1MB;0MB
ПП 01 НП25;Базовые дисциплины;1MB;0MB
И 18 Наумова Т.А.;Общеобразовательные дисциплины ;1MB;0MB
Повар;Базовые дисциплины;1MB;0MB
МДК 05.01 33 группа (Филиал);Базовые дисциплины;1MB;0MB
Учебная практика 04.01;Базовые дисциплины;1MB;0MB
ОП.01;Базовые дисциплины;1MB;0MB
Диплом П.В.А.2021;Профессиональный цикл;1MB;0MB
Технический ;Базовые дисциплины;1MB;0MB
ПП У-29;Базовые дисциплины;1MB;0MB
ОЭиПОПД Самохина Е.А.;Общепрофессиональный цикл;1MB;0MB
ГражПраво  Самохина Е.А;Общепрофессиональный цикл;1MB;0MB
УП У-29;Базовые дисциплины;1MB;0MB
